STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDATE,PRCP,Measurement Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Source Flag,Time of Observation
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160213,2/13/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160214,2/14/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160215,2/15/16,0.44, ,W,2400,0, ,W,9999,1.4, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160216,2/16/16,1.01, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160217,2/17/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160218,2/18/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160219,2/19/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160220,2/20/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160221,2/21/16,0.03, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160222,2/22/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160223,2/23/16,0.3, ,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160224,2/24/16,1.22, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160225,2/25/16,0.02, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160226,2/26/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160227,2/27/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160228,2/28/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160229,2/29/16,0.05, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160301,3/1/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160302,3/2/16,0.14, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160303,3/3/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160304,3/4/16,0.11, ,W,2400,0,T,W,9999,0.4, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160305,3/5/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160306,3/6/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160307,3/7/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160308,3/8/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160309,3/9/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160310,3/10/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160311,3/11/16,0.06, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160312,3/12/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160313,3/13/16,0,T,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160314,3/14/16,0.29, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160315,3/15/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160316,3/16/16,0.02, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160317,3/17/16,0,T,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160318,3/18/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160319,3/19/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160320,3/20/16,0.07, ,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160321,3/21/16,0.06, ,W,2400,0,T,W,9999,0.5, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160322,3/22/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160323,3/23/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160324,3/24/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160325,3/25/16,0.04, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160326,3/26/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160327,3/27/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160328,3/28/16,0.38, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160329,3/29/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160330,3/30/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160331,3/31/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160401,4/1/16,0.02, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160402,4/2/16,0.16, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160403,4/3/16,0.09, ,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160404,4/4/16,0.47, ,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160405,4/5/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160406,4/6/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160407,4/7/16,0.09, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160408,4/8/16,0.01, ,W,2400,0, ,W,9999,0, ,W,9999
