time_hour,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,1.2286676427525622,1.1681081081081082,1.2664150943396233,1.378605898123323,1.0182751091703062,0.8604560260586318,0.9668306010928961
1,1.281443661971832,1.0094921874999996,1.2424705882352938,1.3770812437311941,1.3814110429447848,0.7551470588235291,0.9320399999999998
2,1.0817514124293788,0.8901204819277108,1.5381084656084651,1.440000000000001,0.9765608465608466,1.2644999999999997,0.865968992248062
3,1.0372373540856037,1.087927927927928,1.3893661971830993,1.2994294294294297,1.1786400000000006,1.4786486486486488,1.6652040816326525
4,1.2332751091703056,1.4854621848739498,1.2498099762470307,1.0351960784313727,1.2540983606557377,1.1094382022471911,1.0150485436893202
5,1.4007954545454544,2.0462135922330096,1.426313559322034,1.1224275362318838,1.5824761904761904,2.2592307692307685,1.5629473684210529
6,1.6518374558303883,1.6840306122448985,1.2471351351351347,1.5720000000000005,1.8463565891472862,1.7728870292887038,1.4892201834862384
7,1.379537892791128,1.431686460807601,1.5356666666666667,1.438578947368421,1.4856060606060617,1.5191242362525463,1.5266388308977035
8,1.456881851400731,1.512421052631579,1.2715873015873014,1.3367441860465117,1.5839321074964658,1.694451530612244,1.5308526011560695
9,1.7561796246648793,1.5578045112781962,1.4161228813559328,1.375840978593272,1.6421927374301675,1.5614454277286136,1.5581073025335335
10,1.329938461538461,1.163100775193799,1.3261111111111115,1.3213362068965517,1.344784110535407,1.0851149425287354,1.3529369369369366
11,1.1827231467473525,1.132457983193278,1.2528840579710159,1.2403980099502487,1.1960801393728218,1.1986827458256033,1.1025233644859813
12,1.4737205387205403,0.9991130820399112,1.2757540263543188,1.2333070866141727,1.1813142857142855,1.1281578947368418,1.0351548269581052
13,1.0837500000000002,1.0783061224489794,1.2064295302013435,1.2415737704918037,1.1522007722007719,0.9819999999999997,0.8815689655172414
14,1.146356275303644,1.3192695652173914,1.1547015834348353,1.184908814589666,1.0889694041867959,1.0328272251308903,0.9919814241486075
15,1.244887839433294,0.9782003129890463,1.1099534883720938,1.3405792682926831,1.1612750716332383,1.204274322169059,1.214992743105951
16,1.0979310344827589,1.2052161383285298,1.2767201834862383,1.2690984743411926,1.157542579075426,1.0476479514415786,1.2401544401544402
17,1.2226374650512577,1.0775101488497965,1.2540152339499457,1.2418169014084506,1.2061238532110092,1.1401130653266343,1.4011425061425071
18,1.303362136684996,1.142848484848485,1.3552209944751379,1.246395193591456,1.2269569569569583,1.4168278965129353,1.1905458515283842
19,1.1747958366693356,1.1869301712779976,1.2735026737967914,1.326056149732621,1.3097348886532343,1.0904750593824233,1.1848535564853553
20,1.1804314063848143,0.9675312500000001,1.2629190207156313,1.1419108280254777,1.1744186046511638,1.1766908563134986,1.1472452830188689
21,1.1828461538461537,1.2489824561403515,1.2019909909909907,1.0336650868878356,1.54530135301353,1.7108452722063048,1.2225624178712222
22,1.2438183503243736,1.309467455621302,1.2642831215970953,1.2359540636042408,1.3436251709986322,1.5494310344827582,1.6223860182370826
23,1.3557746478873234,1.1824700239808155,1.3127502175805035,1.2158471074380168,1.5162046632124353,1.3238148984198652,1.2691575663026533
