Word,Rank,Frequency
brother,211, 45
"""no",211, 45
particularly,211, 45
walking,211, 45
believed,211, 45
speaking,212, 44
satisfied,212, 44
"""that",212, 44
pleased,212, 44
likely,212, 44
society,212, 44
near,212, 44
respect,213, 43
"me""",213, 43
called,213, 43
girl,213, 43
regard,213, 43
ladies,213, 43
call,214, 42
character,214, 42
daughter,214, 42
doing,214, 42
air,214, 42
meant,214, 42
already,214, 42
proper,214, 42
need,214, 42
hoped,214, 42
ask,214, 42
sir,214, 42
real,214, 42
fine,215, 41
farther,215, 41
donwell,215, 41
strong,215, 41
power,215, 41
particular,216, 40
dinner,216, 40
"""yes",216, 40
married,216, 40
"""he",216, 40
door,216, 40
spoke,216, 40
stay,216, 40
reason,216, 40
conversation,216, 40
whose,217, 39
meeting,217, 39
beginning,217, 39
ill,217, 39
smile,217, 39
early,217, 39
round,217, 39
allowed,217, 39
help,217, 39
afterwards,218, 38
met,218, 38
fond,218, 38
weather,218, 38
sit,218, 38
"""fathers""",218, 38
bring,218, 38
consider,218, 38
pleasant,218, 38
asked,218, 38
why,218, 38
sometimes,218, 38
different,218, 38
expected,219, 37
"her""",219, 37
convinced,219, 37
added,219, 37
themselves,219, 37
delightful,219, 37
"""very",219, 37
campbell,219, 37
question,219, 37
continued,219, 37
five,219, 37
thoughts,219, 37
colonel,219, 37
sitting,220, 36
"""woodhouses""",220, 36
yes,220, 36
entirely,220, 36
open,220, 36
got,220, 36
settled,220, 36
letters,220, 36
neither,220, 36
kindness,220, 36
sat,220, 36
determined,220, 36
use,220, 36
returned,220, 36
new,221, 35
object,221, 35
received,221, 35
nature,221, 35
seem,221, 35
common,221, 35
fancy,221, 35
head,222, 34
wrong,222, 34
surprize,222, 34
necessary,222, 34
taste,222, 34
"him""",222, 34
son,222, 34
truth,222, 34
circumstance,222, 34
comfortable,222, 34
dixon,222, 34
child,222, 34
amiable,223, 33
creature,223, 33
forward,223, 33
appear,223, 33
supposed,223, 33
impossible,223, 33
enscombe,223, 33
sent,223, 33
excellent,223, 33
marriage,223, 33
temper,223, 33
"""knightleys""",223, 33
probably,223, 33
keep,223, 33
"""well",223, 33
,223, 33
large,223, 33
perfect,224, 32
health,224, 32
taylor,224, 32
absolutely,224, 32
news,224, 32
within,224, 32
pain,224, 32
"""goddards""",224, 32
fortune,224, 32
wanting,224, 32
meet,224, 32
night,225, 31
hearing,225, 31
ten,225, 31
pass,225, 31
company,225, 31
serious,225, 31
"""if",225, 31
meaning,225, 31
acquainted,225, 31
handsome,225, 31
engaged,225, 31
evil,225, 31
anxious,225, 31
"""churchills""",226, 30
danger,226, 30
spoken,226, 30
resolution,226, 30
difficulty,226, 30
knows,226, 30
circumstances,226, 30
appearance,226, 30
"""fairfaxs""",226, 30
interesting,226, 30
begin,226, 30
worth,226, 30
praise,226, 30
please,226, 30
maple,226, 30
greater,226, 30
face,227, 29
small,227, 29
dancing,227, 29
compliment,227, 29
greatest,227, 29
gratitude,227, 29
"""bodys""",227, 29
turned,227, 29
delighted,227, 29
obliging,227, 29
husband,227, 29
papa,227, 29
persuaded,227, 29
"""ah",227, 29
followed,227, 29
says,227, 29
men,227, 29
surprized,227, 29
"""she",228, 28
second,228, 28
cheerful,228, 28
charming,228, 28
turn,228, 28
smiling,228, 28
beauty,228, 28
fair,228, 28
matter,228, 28
months,228, 28
shew,228, 28
case,228, 28
"""what",228, 28
attentions,228, 28
except,228, 28
times,229, 27
merely,229, 27
curiosity,229, 27
week,229, 27
ball,229, 27
robert,229, 27
certain,229, 27
easy,229, 27
difference,229, 27
resolved,229, 27
judgment,229, 27
forget,229, 27
completely,230, 26
loved,230, 26
actually,230, 26
occasion,230, 26
thank,230, 26
none,230, 26
engagement,230, 26
view,230, 26
pity,230, 26
ashamed,230, 26
knowledge,230, 26
mentioned,230, 26
spirit,230, 26
taking,230, 26
understanding,230, 26
decided,230, 26
grove,230, 26
companion,230, 26
warm,230, 26
tried,230, 26
late,230, 26
advantage,230, 26
sister,231, 25
year,231, 25
"""how",231, 25
clever,231, 25
goddard,231, 25
conduct,231, 25
lived,231, 25
led,231, 25
judge,231, 25
pay,231, 25
looks,231, 25
instead,231, 25
whenever,231, 25
crown,232, 24
consequence,232, 24
knowing,232, 24
elegant,232, 24
notice,232, 24
entered,232, 24
seems,232, 24
sensible,232, 24
regret,232, 24
marrying,232, 24
admiration,232, 24
influence,232, 24
spite,232, 24
style,232, 24
happened,232, 24
eye,232, 24
excuse,232, 24
distance,232, 24
silent,232, 24
generally,232, 24
friendship,232, 24
fortunate,232, 24
quiet,232, 24
favour,232, 24
struck,232, 24
highly,232, 24
satisfaction,232, 24
ago,233, 23
table,233, 23
hurry,233, 23
write,233, 23
aware,233, 23
match,233, 23
became,233, 23
alone,233, 23
hours,233, 23
box,233, 23
disposition,233, 23
join,233, 23
gentleman,233, 23
sad,233, 23
"""there",233, 23
worse,233, 23
"""mr",233, 23
campbells,233, 23
behaviour,233, 23
fact,233, 23
send,233, 23
attached,233, 23
understood,233, 23
written,234, 22
honour,234, 22
vain,234, 22
yesterday,234, 22
blush,234, 22
hill,234, 22
claims,234, 22
note,234, 22
sight,234, 22
sake,234, 22
plan,234, 22
tea,234, 22
caught,234, 22
town,234, 22
event,234, 22
"""this",234, 22
kept,234, 22
"""batess""",234, 22
observe,234, 22
turning,234, 22
quick,234, 22
standing,234, 22
"""we",234, 22
justice,234, 22
due,234, 22
telling,234, 22
chuse,234, 22
abbey,234, 22
tone,234, 22
comes,234, 22
consideration,234, 22
guess,234, 22
trying,234, 22
try,234, 22
scheme,234, 22
secret,234, 22
also,234, 22
scarcely,235, 21
horses,235, 21
purpose,235, 21
promise,235, 21
wait,235, 21
thinks,235, 21
approbation,235, 21
favourite,235, 21
stand,235, 21
depend,235, 21
odd,235, 21
hands,235, 21
tomorrow,235, 21
music,235, 21
hopes,235, 21
suspect,235, 21
duty,235, 21
country,235, 21
spent,235, 21
inclination,235, 21
service,236, 20
past,236, 20
especially,236, 20
"well""",236, 20
enjoyment,236, 20
reasonable,236, 20
expect,236, 20
complete,236, 20
pleasing,236, 20
lost,236, 20
henry,236, 20
observed,236, 20
"do""",236, 20
respectable,236, 20
age,236, 20
connexion,236, 20
safe,236, 20
four,236, 20
quarter,236, 20
smallest,236, 20
agreed,236, 20
dance,236, 20
invitation,236, 20
instrument,236, 20
bath,236, 20
delight,236, 20
extraordinary,236, 20
"""the",236, 20
silence,236, 20
loss,236, 20
recommend,236, 20
intimacy,236, 20
beautiful,236, 20
gentlemen,236, 20
fixed,236, 20
presently,236, 20
useful,236, 20
angry,237, 19
weeks,237, 19
delay,237, 19
sigh,237, 19
paid,237, 19
happily,237, 19
rain,237, 19
busy,237, 19
calling,237, 19
pianoforte,237, 19
speech,237, 19
proof,237, 19
otherwise,237, 19
work,237, 19
fault,237, 19
chance,237, 19
dearest,237, 19
eager,237, 19
passing,237, 19
offer,237, 19
hint,237, 19
considering,237, 19
couple,237, 19
uncle,237, 19
information,237, 19
mistaken,237, 19
attempt,237, 19
consciousness,237, 19
wishes,237, 19
william,237, 19
"""janes""",237, 19
disposed,237, 19
distress,237, 19
lose,237, 19
summer,237, 19
sweet,237, 19
high,237, 19
mention,237, 19
ease,237, 19
altogether,237, 19
likeness,237, 19
thoroughly,237, 19
answered,237, 19
deserve,238, 18
finding,238, 18
opportunity,238, 18
wrote,238, 18
"indeed""",238, 18
anxiety,238, 18
goodwill,238, 18
considered,238, 18
form,238, 18
pray,238, 18
safely,238, 18
move,238, 18
disagreeable,238, 18
close,238, 18
makes,238, 18
encouragement,238, 18
sudden,238, 18
"""mans""",238, 18
charge,238, 18
single,238, 18
pride,238, 18
living,238, 18
reflection,238, 18
equally,238, 18
picture,238, 18
spend,238, 18
unhappy,238, 18
hers,238, 18
eltons,238, 18
rational,238, 18
imagined,238, 18
listen,238, 18
thrown,238, 18
tired,238, 18
joy,238, 18
parties,238, 18
"""so",238, 18
charade,239, 17
considerable,239, 17
road,239, 17
promised,239, 17
whatever,239, 17
niece,239, 17
james,239, 17
cause,239, 17
shewed,239, 17
"""not",239, 17
important,239, 17
confidence,239, 17
warmly,239, 17
plain,239, 17
occurred,239, 17
gives,239, 17
women,239, 17
regular,239, 17
severe,239, 17
live,239, 17
prevent,239, 17
behind,239, 17
mine,239, 17
period,239, 17
dislike,239, 17
today,239, 17
lately,239, 17
arrived,239, 17
besides,239, 17
suspicion,239, 17
"them""",239, 17
possibly,239, 17
during,239, 17
effect,239, 17
wishing,239, 17
views,239, 17
countenance,239, 17
worst,239, 17
worthy,239, 17
growing,239, 17
friendly,239, 17
run,239, 17
history,239, 17
joined,239, 17
simple,239, 17
fully,240, 16
slight,240, 16
