,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location,drop_location
322,1,1/1/16,1:37,1/1/16,1:46,N,1,-73.95241547,40.78663254,-73.93895721,40.80489349,1,1.5,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,1,1,Manhattan,Manhattan
323,2,1/1/16,3:32,1/1/16,3:41,N,1,-73.95527649,40.80973816,-73.97358704,40.79203033,1,1.95,9.0,0.5,0.5,2.06,0.0,,0.3,12.36,1,1,3,3,Manhattan,Manhattan
324,2,1/1/16,11:50,1/1/16,12:01,N,1,-73.92591858,40.76683044,-73.95407867,40.74297333,1,2.71,11.0,0.0,0.5,2.36,0.0,,0.3,14.16,1,1,11,12,Queens,Queens
325,2,1/1/16,5:26,1/1/16,5:43,N,1,-73.84406281,40.72192383,-73.90070343,40.72488022,1,3.92,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2,1,5,5,Queens,Queens
326,2,1/1/16,13:53,1/1/16,14:08,N,1,-73.83042908,40.75959396,-73.8862381,40.74752426,1,3.02,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2,1,13,14,Queens,Queens
327,1,1/1/16,4:04,1/1/16,4:20,N,1,-73.88976288,40.8250351,-73.91698456,40.84117126,1,2.5,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1,4,4,Bronx,Bronx
328,1,1/1/16,3:08,1/1/16,3:19,N,1,-73.98937225,40.69116592,-73.954216,40.68819427,2,2.0,9.5,0.5,0.5,2.15,0.0,,0.3,12.95,1,1,3,3,Brooklyn,Brooklyn
329,2,1/1/16,17:51,1/1/16,18:18,N,1,-73.91564178,40.77241898,-74.01570892,40.71171188,6,10.76,33.0,0.0,0.5,8.45,0.0,,0.3,42.25,1,1,17,18,Queens,Manhattan
330,2,1/1/16,18:07,1/1/16,18:13,N,1,-73.99588013,40.6787529,-74.01628113,40.67576218,5,1.73,7.0,0.0,0.5,1.95,0.0,,0.3,9.75,1,1,18,18,Brooklyn,Brooklyn
331,2,1/1/16,4:43,1/1/16,5:00,N,5,-73.9026413,40.85369873,-73.90090179,40.82135773,1,3.56,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,2,2,4,5,Bronx,Bronx
332,1,1/1/16,3:51,1/1/16,3:55,N,1,-73.87086487,40.75144196,-73.87500763,40.76144791,1,0.7,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1,3,3,Queens,Queens
333,2,1/1/16,5:17,1/1/16,5:21,N,1,-73.82984161,40.71370316,-73.83074188,40.70581818,1,0.79,4.5,0.5,0.5,1.0,0.0,,0.3,6.8,1,1,5,5,Queens,Queens
334,1,1/1/16,14:58,1/1/16,15:16,N,1,-73.99472046,40.70370102,-73.96057129,40.75802612,3,6.9,21.0,0.0,0.5,5.45,0.0,,0.3,27.25,1,1,14,15,Brooklyn,Manhattan
335,2,1/1/16,19:51,1/1/16,19:53,N,1,-73.95539856,40.78869629,-73.96894836,40.79459381,1,0.85,4.5,0.0,0.5,1.0,0.0,,0.3,6.3,1,1,19,19,New York,Manhattan
336,2,1/1/16,0:43,1/1/16,0:56,N,1,-73.93663025,40.67974091,-73.92467499,40.66820526,6,2.04,10.5,0.5,0.5,2.36,0.0,,0.3,14.16,1,1,0,0,Brooklyn,Brooklyn
337,2,1/1/16,15:25,1/1/16,15:28,N,1,-73.8819809,40.74780655,-73.88766479,40.7472496,1,0.26,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,2,1,15,15,Queens,Queens
338,2,1/1/16,2:38,1/1/16,2:46,N,1,-73.93300629,40.70695114,-73.90916443,40.68896866,5,1.96,8.0,0.5,0.5,1.86,0.0,,0.3,11.16,1,1,2,2,Brooklyn,Brooklyn
339,2,1/1/16,4:26,1/1/16,4:36,N,1,-73.93139648,40.69752884,-73.95083618,40.70892715,1,1.51,8.0,0.5,0.5,1.86,0.0,,0.3,11.16,1,1,4,4,Brooklyn,Brooklyn
340,2,1/1/16,3:57,1/1/16,4:04,N,1,-73.96627045,40.80454636,-73.94672394,40.82637024,1,1.97,8.0,0.5,0.5,1.86,0.0,,0.3,11.16,1,1,3,4,Manhattan,Manhattan
341,2,1/1/16,5:09,1/1/16,5:27,N,1,-73.88294983,40.755866999999995,-73.89512634,40.72576904,6,4.15,16.5,0.5,0.5,0.0,0.0,,0.3,17.8,2,1,5,5,Queens,Queens
342,2,1/1/16,19:09,1/1/16,19:22,N,1,-73.94275665,40.79394531,-73.87410736,40.82779694,1,5.25,16.5,0.0,0.5,0.0,0.0,,0.3,17.3,2,1,19,19,Manhattan,Bronx
343,2,1/1/16,3:08,1/1/16,3:20,N,1,-73.83185577,40.71508408,-73.78504181,40.73081589,1,3.67,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2,1,3,3,Queens,Queens
344,2,1/1/16,5:13,1/1/16,5:27,N,1,-73.88103485,40.75014877,-73.91007996,40.76594162,1,2.73,12.0,0.5,0.5,3.32,0.0,,0.3,16.62,1,1,5,5,Queens,Queens
345,2,1/1/16,14:58,1/1/16,15:13,N,1,-73.92339325,40.76107025,-73.90357971,40.74545288,1,2.79,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2,1,14,15,Queens,Queens
346,1,1/1/16,13:34,1/1/16,13:53,N,1,-73.96520996,40.71273422,-73.98007965,40.66949844,1,4.7,17.0,0.0,0.5,3.55,0.0,,0.3,21.35,1,1,13,13,Brooklyn,Brooklyn
347,2,1/1/16,0:20,1/1/16,0:32,N,1,-73.98208618,40.67418671,-74.02384186,40.62080383,1,5.17,17.0,0.5,0.5,3.66,0.0,,0.3,21.96,1,1,0,0,Brooklyn,Brooklyn
348,2,1/1/16,20:27,1/1/16,20:28,N,1,-73.89743042,40.82960129,-73.89665985,40.8340683,1,0.31,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1,20,20,Bronx,Bronx
349,2,1/1/16,4:41,1/1/16,4:53,N,1,-73.94172668,40.83859634,-73.97322083,40.79194641,1,4.53,15.5,0.5,0.5,3.36,0.0,,0.3,20.16,1,1,4,4,Manhattan,Manhattan
350,1,1/1/16,8:43,1/1/16,8:56,N,1,-73.93366241,40.74529648,-73.97573853,40.76529694,1,3.1,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,2,1,8,8,Queens,Manhattan
351,2,1/1/16,14:13,1/1/16,14:17,N,1,-73.93357086,40.80295563,-73.93306732,40.79536819,2,0.8,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1,14,14,Manhattan,Manhattan
352,2,1/1/16,11:02,1/1/16,11:09,N,1,-73.94250488,40.78624725,-73.91886139,40.77099609,1,4.18,13.0,0.0,0.5,5.8,5.54,,0.3,25.14,1,1,11,11,Manhattan,Queens
353,2,1/1/16,1:12,1/1/16,1:30,N,1,-73.95750427,40.72226334,-73.97581482,40.67396164,1,5.13,18.0,0.5,0.5,0.0,0.0,,0.3,19.3,2,1,1,1,Brooklyn,Brooklyn
354,2,1/1/16,16:57,1/1/16,17:17,N,1,-73.95899200000001,40.71664047,-73.98388672,40.66820526,1,5.13,19.5,0.0,0.5,4.06,0.0,,0.3,24.36,1,1,16,17,Brooklyn,Brooklyn
355,1,1/1/16,20:18,1/1/16,20:29,N,1,-73.96121216,40.69406891,-73.95700073,40.67342377,1,2.0,10.0,0.0,0.5,2.15,0.0,,0.3,12.95,1,1,20,20,Brooklyn,Brooklyn
356,2,1/1/16,2:11,1/1/16,2:19,N,1,-73.95561981,40.6767807,-73.98181152,40.67949295,1,1.58,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,2,2,Brooklyn,Brooklyn
357,2,1/1/16,1:44,1/1/16,2:14,N,1,-73.93319702,40.70473099,-74.00902557,40.7325592,1,6.51,25.0,0.5,0.5,0.0,0.0,,0.3,26.3,1,1,1,2,Brooklyn,Manhattan
358,2,1/1/16,0:09,1/1/16,0:12,N,1,-73.94224548,40.79773331,-73.93999481,40.78969193,1,0.94,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1,0,0,Manhattan,Manhattan
359,2,1/1/16,16:28,1/1/16,16:32,N,1,-73.95841217,40.64904022,-73.95231628,40.63714218,1,0.92,5.5,0.0,0.5,1.26,0.0,,0.3,7.56,1,1,16,16,Brooklyn,Brooklyn
360,2,1/1/16,1:34,1/1/16,2:21,N,1,-73.96353149,40.67682648,-73.94161224,40.80868149,5,15.96,49.0,0.5,0.5,11.17,5.54,,0.3,67.01,1,1,1,2,Brooklyn,Manhattan
361,1,1/1/16,16:28,1/1/16,16:36,N,1,-73.96460724,40.68296432,-73.94297028,40.68637085,3,1.5,8.0,1.0,0.5,0.0,0.0,,0.3,9.8,2,1,16,16,Brooklyn,Brooklyn
362,2,1/1/16,3:22,1/1/16,3:34,N,1,-73.9586792,40.70936203,-73.92648315,40.70555878,1,2.14,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1,3,3,Brooklyn,Brooklyn
