,Unnamed: 0,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location
761,55326,2,1/1/16,20:06,1/1/16,20:20,N,1,-73.94454956,40.80735397,-73.90470123,40.85863113,1,5.38,17.0,0.5,0.5,0.0,0.0,,0.3,18.3,2,1.0,20,20,Manhattan
762,41024,2,1/1/16,13:17,1/1/16,13:22,N,1,-73.94172668,40.79867172,-73.95254517,40.80400467,1,0.72,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0,13,13,Manhattan
763,27908,2,1/1/16,4:41,1/1/16,4:52,N,1,-73.93443298,40.69853592,-73.94570923,40.68231964,1,2.59,10.5,0.5,0.5,1.0,0.0,,0.3,12.8,1,1.0,4,4,Brooklyn
764,38709,1,1/1/16,10:06,1/1/16,10:13,N,1,-73.89055634,40.74710464,-73.91637421,40.74441147,1,1.6,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2,1.0,10,10,Queens
765,10620,2,1/1/16,1:42,1/1/16,2:00,N,1,-73.98551178,40.69224548,-73.8830719,40.74628448,1,7.95,24.0,0.5,0.5,7.59,0.0,,0.3,32.89,1,1.0,1,2,Brooklyn
766,30850,2,1/1/16,5:27,1/1/16,5:31,N,1,-73.8807373,40.74794388,-73.89273834,40.74887848,1,0.89,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1.0,5,5,Queens
767,9651,2,1/1/16,1:47,1/1/16,1:49,N,1,-73.92578125,40.76210022,-73.91973877,40.75923538,1,0.37,3.5,0.5,0.5,1.0,0.0,,0.3,5.8,1,1.0,1,1,Queens
768,5263,1,1/1/16,0:51,1/1/16,1:05,N,1,-73.92228699,40.68965149,-73.90740967,40.69773865,1,1.9,10.5,0.5,0.5,2.35,0.0,,0.3,14.15,1,1.0,0,1,Kings County
769,58441,2,1/1/16,21:35,1/1/16,21:44,N,1,-73.98336792,40.67267227,-73.97309113,40.64095306,1,2.75,11.0,0.5,0.5,2.2,0.0,,0.3,14.5,1,1.0,21,21,Brooklyn
770,36334,2,1/1/16,8:13,1/1/16,8:24,N,1,-73.97869873,40.68987656,-73.99978638,40.65606689,1,2.99,12.0,0.0,0.5,2.56,0.0,,0.3,15.36,1,1.0,8,8,Brooklyn
771,40258,2,1/1/16,12:34,1/1/16,12:50,N,1,-73.94973755,40.82212067,-73.89315033,40.86737823,1,5.53,18.5,0.0,0.5,0.0,0.0,,0.3,19.3,1,1.0,12,12,Manhattan
772,19098,1,1/1/16,2:24,1/1/16,2:31,N,1,-73.93775177,40.68852234,-73.94407654,40.68486023,1,1.0,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1.0,2,2,Brooklyn
773,9113,2,1/1/16,1:26,1/1/16,1:43,N,1,-73.96169281,40.71092987,-73.95979309,40.67564011,1,3.26,14.0,0.5,0.5,4.59,0.0,,0.3,19.89,1,1.0,1,1,Brooklyn
774,36472,2,1/1/16,8:22,1/1/16,8:35,N,1,-73.93922424,40.80218124,-73.98846436,40.70058441,1,10.03,28.0,0.0,0.5,0.0,0.0,,0.3,28.8,2,1.0,8,8,Manhattan
