Month,MANHATTAN,NYC,PERCENTAGE
Apr,3540,14042,0.25210084033613445
Aug,2844,12235,0.23244789538210053
Dec,2634,11964,0.220160481444333
Feb,3195,12173,0.2624661135299433
Jan,3178,13954,0.22774831589508385
Jul,3055,12974,0.23547094188376755
Jun,2956,12496,0.23655569782330346
Mar,3479,13976,0.24892673153978248
May,3432,14182,0.24199689747567338
Nov,2838,12004,0.2364211929356881
Oct,2831,12225,0.23157464212678935
Sep,2744,12081,0.2271335154374638
